age,N_PROT
10대 중반,73.83
10대 초반,72.27
10대 후반,77.71
10세 미만,52.87
20대 중반,79.24
20대 초반,87.5
20대 후반,75.69
30대 중반,75.57
30대 초반,84.29
30대 후반,83.91
40대 중반,74.23
40대 초반,77.84
40대 후반,73.75
50대 중반,69.22
50대 초반,70.23
50대 후반,65.17
60대 중반,63.59
60대 초반,64.59
60대 후반,58.69
70대 중반,51.06
70대 초반,58.62
70대 후반,47.19
80세 이상,44.21
