age,N_VA
10대 중반,833.95
10대 초반,746.2
10대 후반,681.74
10세 미만,533.4
20대 중반,761.01
20대 초반,627.49
20대 후반,886.45
30대 중반,919.07
30대 초반,1009.77
30대 후반,913.05
40대 중반,1009.46
40대 초반,1002.98
40대 후반,1063.39
50대 중반,901.33
50대 초반,1043.69
50대 후반,967.74
60대 중반,874.34
60대 초반,1001.79
60대 후반,925.67
70대 중반,628.95
70대 초반,685.51
70대 후반,516.19
80세 이상,491.96
