age,N_VA
10대 중반,531.21
10대 초반,507.97
10대 후반,557.04
10세 미만,469.25
20대 중반,525.86
20대 초반,562.15
20대 후반,709.0
30대 중반,576.45
30대 초반,640.43
30대 후반,676.12
40대 중반,638.54
40대 초반,624.38
40대 후반,636.55
50대 중반,710.05
50대 초반,632.11
50대 후반,601.36
60대 중반,610.89
60대 초반,571.96
60대 후반,563.38
70대 중반,457.47
70대 초반,579.57
70대 후반,424.74
80세 이상,350.65
