age,N_CHO
10대 중반,345.45
10대 초반,318.06
10대 후반,332.29
10세 미만,238.74
20대 중반,301.24
20대 초반,292.07
20대 후반,303.65
30대 중반,315.98
30대 초반,311.6
30대 후반,321.16
40대 중반,340.17
40대 초반,334.93
40대 후반,337.12
50대 중반,324.68
50대 초반,324.58
50대 후반,335.11
60대 중반,338.62
60대 초반,337.58
60대 후반,309.26
70대 중반,291.58
70대 초반,310.0
70대 후반,269.69
80세 이상,261.07
