age,HE_BMI
10대 중반,21.47
10대 초반,19.49
10대 후반,22.59
10세 미만,16.64
20대 중반,23.25
20대 초반,22.45
20대 후반,23.95
30대 중반,23.85
30대 초반,23.54
30대 후반,23.82
40대 중반,24.04
40대 초반,24.13
40대 후반,24.14
50대 중반,24.04
50대 초반,24.03
50대 후반,24.13
60대 중반,24.27
60대 초반,24.41
60대 후반,24.18
70대 중반,23.9
70대 초반,24.25
70대 후반,23.98
80세 이상,23.57
