age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,1
10세 미만,0
20대 중반,5
20대 초반,1
20대 후반,5
30대 중반,25
30대 초반,11
30대 후반,27
40대 중반,60
40대 초반,30
40대 후반,47
50대 중반,125
50대 초반,65
50대 후반,96
60대 중반,177
60대 초반,114
60대 후반,151
70대 중반,198
70대 초반,138
70대 후반,107
80세 이상,122
