age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,2
10세 미만,0
20대 중반,10
20대 초반,7
20대 후반,21
30대 중반,32
30대 초반,15
30대 후반,44
40대 중반,78
40대 초반,51
40대 후반,67
50대 중반,152
50대 초반,112
50대 후반,134
60대 중반,213
60대 초반,154
60대 후반,192
70대 중반,216
70대 초반,198
70대 후반,102
80세 이상,132
