age,N_CA
10대 중반,552.22
10대 초반,530.74
10대 후반,493.57
10세 미만,512.59
20대 중반,487.39
20대 초반,465.93
20대 후반,482.69
30대 중반,570.38
30대 초반,536.02
30대 후반,524.74
40대 중반,563.29
40대 초반,577.89
40대 후반,563.96
50대 중반,522.87
50대 초반,534.37
50대 후반,530.79
60대 중반,503.9
60대 초반,540.96
60대 후반,426.78
70대 중반,401.14
70대 초반,441.2
70대 후반,354.41
80세 이상,340.96
