age,N_FAT
10대 중반,60.33
10대 초반,49.62
10대 후반,60.13
10세 미만,37.16
20대 중반,54.21
20대 초반,58.79
20대 후반,52.96
30대 중반,51.5
30대 초반,58.36
30대 후반,47.51
40대 중반,47.03
40대 초반,48.57
40대 후반,43.56
50대 중반,35.19
50대 초반,36.47
50대 후반,35.83
60대 중반,32.88
60대 초반,35.12
60대 후반,25.9
70대 중반,20.1
70대 초반,23.07
70대 후반,20.28
80세 이상,18.49
