age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,3
10세 미만,0
20대 중반,6
20대 초반,4
20대 후반,13
30대 중반,27
30대 초반,15
30대 후반,34
40대 중반,73
40대 초반,50
40대 후반,72
50대 중반,153
50대 초반,97
50대 후반,106
60대 중반,200
60대 초반,108
60대 후반,118
70대 중반,177
70대 초반,141
70대 후반,85
80세 이상,112
