age,N_DUSUAL_2
10대 중반,79
10대 초반,52
10대 후반,45
10세 미만,213
20대 중반,37
20대 초반,24
20대 후반,27
30대 중반,55
30대 초반,35
30대 후반,41
40대 중반,39
40대 초반,40
40대 후반,37
50대 중반,48
50대 초반,43
50대 후반,30
60대 중반,26
60대 초반,23
60대 후반,22
70대 중반,20
70대 초반,20
70대 후반,7
80세 이상,15
