age,N_PROT
10대 중반,82.13
10대 초반,70.94
10대 후반,83.58
10세 미만,51.31
20대 중반,79.24
20대 초반,76.61
20대 후반,78.51
30대 중반,82.42
30대 초반,82.48
30대 후반,76.28
40대 중반,79.82
40대 초반,80.74
40대 후반,78.66
50대 중반,68.71
50대 초반,73.08
50대 후반,71.13
60대 중반,66.53
60대 초반,68.09
60대 후반,56.88
70대 중반,48.63
70대 초반,55.26
70대 후반,48.27
80세 이상,43.39
