age,HE_BMI
10대 중반,20.71
10대 초반,18.98
10대 후반,22.01
10세 미만,16.51
20대 중반,22.23
20대 초반,22.01
20대 후반,22.81
30대 중반,23.75
30대 초반,23.13
30대 후반,23.41
40대 중반,23.88
40대 초반,23.75
40대 후반,24.01
50대 중반,24.12
50대 초반,23.93
50대 후반,24.34
60대 중반,24.37
60대 초반,24.37
60대 후반,24.31
70대 중반,23.92
70대 초반,24.2
70대 후반,23.4
80세 이상,22.63
