age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,2
10세 미만,0
20대 중반,17
20대 초반,4
20대 후반,6
30대 중반,41
30대 초반,16
30대 후반,36
40대 중반,83
40대 초반,39
40대 후반,79
50대 중반,161
50대 초반,80
50대 후반,158
60대 중반,209
60대 초반,158
60대 후반,161
70대 중반,213
70대 초반,138
70대 후반,158
80세 이상,219
