age,N_DUSUAL_2
10대 중반,101
10대 초반,52
10대 후반,65
10세 미만,153
20대 중반,48
20대 초반,31
20대 후반,50
30대 중반,46
30대 초반,45
30대 후반,42
40대 중반,46
40대 초반,35
40대 후반,38
50대 중반,31
50대 초반,39
50대 후반,22
60대 중반,21
60대 초반,16
60대 후반,19
70대 중반,19
70대 초반,13
70대 후반,10
80세 이상,16
