age,HE_BMI
10대 중반,21.28
10대 초반,19.13
10대 후반,22.18
10세 미만,16.47
20대 중반,23.31
20대 초반,23.0
20대 후반,23.19
30대 중반,23.61
30대 초반,23.51
30대 후반,23.88
40대 중반,24.01
40대 초반,23.52
40대 후반,24.3
50대 중반,24.1
50대 초반,24.17
50대 후반,24.06
60대 중반,24.3
60대 초반,24.61
60대 후반,24.44
70대 중반,24.35
70대 초반,23.86
70대 후반,24.04
80세 이상,23.31
