age,N_DUSUAL_1
10대 중반,62
10대 초반,53
10대 후반,52
10세 미만,76
20대 중반,61
20대 초반,36
20대 후반,48
30대 중반,89
30대 초반,68
30대 후반,74
40대 중반,76
40대 초반,72
40대 후반,66
50대 중반,84
50대 초반,56
50대 후반,47
60대 중반,47
60대 초반,39
60대 후반,23
70대 중반,22
70대 초반,24
70대 후반,9
80세 이상,2
