age,HE_BMI
10대 중반,21.1
10대 초반,19.23
10대 후반,22.24
10세 미만,16.22
20대 중반,22.75
20대 초반,22.44
20대 후반,23.4
30대 중반,23.8
30대 초반,23.42
30대 후반,23.95
40대 중반,23.99
40대 초반,23.97
40대 후반,24.54
50대 중반,24.23
50대 초반,24.23
50대 후반,24.34
60대 중반,24.45
60대 초반,24.3
60대 후반,24.65
70대 중반,23.9
70대 초반,24.56
70대 후반,24.39
80세 이상,23.24
