age,N_CA
10대 중반,517.4
10대 초반,514.27
10대 후반,462.54
10세 미만,437.92
20대 중반,457.46
20대 초반,477.98
20대 후반,481.4
30대 중반,515.14
30대 초반,493.48
30대 후반,483.36
40대 중반,525.73
40대 초반,508.53
40대 후반,506.69
50대 중반,499.78
50대 초반,512.28
50대 후반,510.77
60대 중반,496.92
60대 초반,537.26
60대 후반,470.34
70대 중반,393.06
70대 초반,406.99
70대 후반,331.67
80세 이상,299.33
