age,N_VA
10대 중반,793.44
10대 초반,621.43
10대 후반,553.56
10세 미만,550.08
20대 중반,671.66
20대 초반,633.36
20대 후반,758.52
30대 중반,920.67
30대 초반,798.72
30대 후반,760.71
40대 중반,846.24
40대 초반,738.11
40대 후반,854.71
50대 중반,823.74
50대 초반,780.84
50대 후반,794.03
60대 중반,861.86
60대 초반,912.5
60대 후반,688.65
70대 중반,620.06
70대 초반,675.21
70대 후반,595.5
80세 이상,398.1
