age,N_CHO
10대 중반,342.58
10대 초반,313.74
10대 후반,307.16
10세 미만,231.66
20대 중반,303.5
20대 초반,295.89
20대 후반,297.68
30대 중반,311.69
30대 초반,309.56
30대 후반,313.65
40대 중반,306.74
40대 초반,302.54
40대 후반,314.41
50대 중반,315.07
50대 초반,323.37
50대 후반,329.76
60대 중반,322.76
60대 초반,338.82
60대 후반,322.99
70대 중반,288.61
70대 초반,301.04
70대 후반,287.35
80세 이상,255.88
