age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,2
10세 미만,0
20대 중반,13
20대 초반,5
20대 후반,16
30대 중반,41
30대 초반,19
30대 후반,40
40대 중반,87
40대 초반,48
40대 후반,86
50대 중반,164
50대 초반,105
50대 후반,147
60대 중반,206
60대 초반,161
60대 후반,144
70대 중반,210
70대 초반,191
70대 후반,147
80세 이상,229
