age,E_Q_FAM
10대 중반,62
10대 초반,21
10대 후반,28
10세 미만,0
20대 중반,38
20대 초반,22
20대 후반,34
30대 중반,92
30대 초반,34
30대 후반,61
40대 중반,77
40대 초반,60
40대 후반,44
50대 중반,54
50대 초반,49
50대 후반,28
60대 중반,25
60대 초반,31
60대 후반,21
70대 중반,15
70대 초반,17
70대 후반,2
80세 이상,7
