age,N_PROT
10대 중반,83.04
10대 초반,76.15
10대 후반,80.81
10세 미만,49.84
20대 중반,82.01
20대 초반,83.03
20대 후반,81.19
30대 중반,77.61
30대 초반,80.68
30대 후반,79.64
40대 중반,76.05
40대 초반,75.51
40대 후반,73.15
50대 중반,69.39
50대 초반,77.14
50대 후반,65.73
60대 중반,63.15
60대 초반,65.24
60대 후반,61.47
70대 중반,50.8
70대 초반,54.65
70대 후반,49.69
80세 이상,41.64
