age,E_Q_SUN
10대 중반,38
10대 초반,12
10대 후반,28
10세 미만,0
20대 중반,36
20대 초반,31
20대 후반,19
30대 중반,65
30대 초반,21
30대 후반,40
40대 중반,54
40대 초반,47
40대 후반,55
50대 중반,79
50대 초반,63
50대 후반,64
60대 중반,111
60대 초반,71
60대 후반,92
70대 중반,69
70대 초반,69
70대 후반,19
80세 이상,22
