age,N_VA
10대 중반,401.51
10대 초반,384.69
10대 후반,335.56
10세 미만,327.27
20대 중반,351.47
20대 초반,354.72
20대 후반,391.66
30대 중반,386.14
30대 초반,399.15
30대 후반,412.05
40대 중반,395.49
40대 초반,374.44
40대 후반,376.67
50대 중반,393.36
50대 초반,416.22
50대 후반,366.93
60대 중반,375.63
60대 초반,402.58
60대 후반,380.73
70대 중반,298.84
70대 초반,348.65
70대 후반,305.82
80세 이상,235.57
