age,N_DUSUAL_1
10대 중반,67
10대 초반,60
10대 후반,44
10세 미만,95
20대 중반,49
20대 초반,50
20대 후반,44
30대 중반,86
30대 초반,62
30대 후반,81
40대 중반,84
40대 초반,67
40대 후반,58
50대 중반,97
50대 초반,65
50대 후반,56
60대 중반,61
60대 초반,59
60대 후반,36
70대 중반,42
70대 초반,37
70대 후반,19
80세 이상,19
