age,N_FAT
10대 중반,59.37
10대 초반,55.27
10대 후반,60.61
10세 미만,36.96
20대 중반,59.75
20대 초반,57.81
20대 후반,57.2
30대 중반,52.79
30대 초반,54.82
30대 후반,48.49
40대 중반,41.79
40대 초반,47.36
40대 후반,44.85
50대 중반,35.35
50대 초반,37.12
50대 후반,35.39
60대 중반,29.76
60대 초반,34.23
60대 후반,27.21
70대 중반,22.27
70대 초반,25.29
70대 후반,21.93
80세 이상,18.44
