age,N_WAT_C
10대 중반,4.34
10대 초반,4.53
10대 후반,4.3
10세 미만,3.06
20대 중반,5.39
20대 초반,4.83
20대 후반,5.23
30대 중반,5.16
30대 초반,4.88
30대 후반,5.24
40대 중반,4.99
40대 초반,5.56
40대 후반,5.1
50대 중반,4.81
50대 초반,4.52
50대 후반,5.15
60대 중반,5.05
60대 초반,5.0
60대 후반,4.95
70대 중반,4.61
70대 초반,4.57
70대 후반,3.81
80세 이상,3.47
