age,N_PROT
10대 중반,82.48
10대 초반,74.75
10대 후반,82.69
10세 미만,50.73
20대 중반,79.65
20대 초반,76.53
20대 후반,81.28
30대 중반,81.11
30대 초반,81.67
30대 후반,76.15
40대 중반,74.55
40대 초반,76.26
40대 후반,75.33
50대 중반,69.49
50대 초반,70.2
50대 후반,69.66
60대 중반,64.4
60대 초반,70.08
60대 후반,60.05
70대 중반,52.78
70대 초반,58.01
70대 후반,50.2
80세 이상,44.64
