age,N_PROT
10대 중반,83.91
10대 초반,73.88
10대 후반,80.96
10세 미만,50.22
20대 중반,78.52
20대 초반,76.55
20대 후반,74.03
30대 중반,78.51
30대 초반,78.44
30대 후반,76.01
40대 중반,74.66
40대 초반,73.8
40대 후반,74.52
50대 중반,67.77
50대 초반,71.93
50대 후반,67.56
60대 중반,62.39
60대 초반,70.15
60대 후반,61.24
70대 중반,49.47
70대 초반,54.44
70대 후반,46.13
80세 이상,42.11
