age,N_CHO
10대 중반,317.75
10대 초반,323.08
10대 후반,304.81
10세 미만,230.81
20대 중반,296.71
20대 초반,283.23
20대 후반,283.12
30대 중반,295.05
30대 초반,297.51
30대 후반,311.15
40대 중반,305.52
40대 초반,305.67
40대 후반,307.72
50대 중반,307.81
50대 초반,329.54
50대 후반,308.78
60대 중반,316.27
60대 초반,305.0
60대 후반,320.81
70대 중반,281.77
70대 초반,304.42
70대 후반,281.67
80세 이상,249.71
