age,BP8
10대 중반,7.41
10대 초반,8.06
10대 후반,6.77
10세 미만,0.0
20대 중반,7.19
20대 초반,7.22
20대 후반,7.11
30대 중반,7.31
30대 초반,7.08
30대 후반,7.26
40대 중반,7.43
40대 초반,7.26
40대 후반,7.16
50대 중반,7.03
50대 초반,7.0
50대 후반,7.08
60대 중반,6.74
60대 초반,6.85
60대 후반,7.01
70대 중반,7.37
70대 초반,6.69
70대 후반,7.85
80세 이상,8.59
