age,N_CA
10대 중반,530.36
10대 초반,523.89
10대 후반,457.25
10세 미만,433.76
20대 중반,560.67
20대 초반,461.54
20대 후반,449.4
30대 중반,512.25
30대 초반,513.02
30대 후반,493.42
40대 중반,496.9
40대 초반,535.29
40대 후반,521.79
50대 중반,511.2
50대 초반,530.41
50대 후반,520.85
60대 중반,500.16
60대 초반,537.51
60대 후반,471.94
70대 중반,377.85
70대 초반,405.09
70대 후반,346.15
80세 이상,313.79
