age,N_CA
10대 중반,546.79
10대 초반,509.81
10대 후반,553.56
10세 미만,467.18
20대 중반,508.92
20대 초반,482.13
20대 후반,473.88
30대 중반,549.88
30대 초반,524.32
30대 후반,492.48
40대 중반,518.8
40대 초반,535.03
40대 후반,535.2
50대 중반,547.65
50대 초반,536.56
50대 후반,519.36
60대 중반,557.98
60대 초반,528.82
60대 후반,505.35
70대 중반,439.08
70대 초반,471.54
70대 후반,422.97
80세 이상,337.66
