age,N_CA
10대 중반,512.91
10대 초반,558.37
10대 후반,530.32
10세 미만,480.1
20대 중반,502.99
20대 초반,507.87
20대 후반,551.12
30대 중반,487.27
30대 초반,518.78
30대 후반,528.58
40대 중반,532.56
40대 초반,573.28
40대 후반,555.79
50대 중반,548.09
50대 초반,539.89
50대 후반,541.73
60대 중반,519.27
60대 초반,506.83
60대 후반,508.07
70대 중반,414.71
70대 초반,478.89
70대 후반,359.31
80세 이상,360.11
