age,N_PROT
10대 중반,80.68
10대 초반,75.18
10대 후반,78.4
10세 미만,52.0
20대 중반,80.85
20대 초반,76.84
20대 후반,84.52
30대 중반,80.84
30대 초반,82.81
30대 후반,82.86
40대 중반,79.23
40대 초반,81.71
40대 후반,74.52
50대 중반,73.71
50대 초반,70.2
50대 후반,70.66
60대 중반,65.62
60대 초반,67.35
60대 후반,60.29
70대 중반,53.77
70대 초반,55.53
70대 후반,47.89
80세 이상,45.07
