age,N_WAT_C
10대 중반,7.42
10대 초반,7.61
10대 후반,4.96
10세 미만,5.07
20대 중반,5.17
20대 초반,4.59
20대 후반,5.07
30대 중반,4.82
30대 초반,4.9
30대 후반,4.88
40대 중반,4.89
40대 초반,7.86
40대 후반,4.89
50대 중반,4.86
50대 초반,11.28
50대 후반,4.99
60대 중반,4.42
60대 초반,4.91
60대 후반,9.12
70대 중반,8.01
70대 초반,8.29
70대 후반,10.53
80세 이상,3.4
