age,N_DUSUAL_1
10대 중반,57
10대 초반,48
10대 후반,40
10세 미만,83
20대 중반,93
20대 초반,46
20대 후반,76
30대 중반,116
30대 초반,65
30대 후반,80
40대 중반,104
40대 초반,98
40대 후반,74
50대 중반,52
50대 초반,58
50대 후반,35
60대 중반,41
60대 초반,38
60대 후반,35
70대 중반,18
70대 초반,11
70대 후반,3
80세 이상,8
