age,N_WAT_C
10대 중반,4.71
10대 초반,4.21
10대 후반,4.86
10세 미만,3.28
20대 중반,5.42
20대 초반,5.29
20대 후반,5.57
30대 중반,5.53
30대 초반,5.06
30대 후반,5.46
40대 중반,5.48
40대 초반,5.33
40대 후반,4.99
50대 중반,5.38
50대 초반,5.14
50대 후반,5.35
60대 중반,5.26
60대 초반,5.35
60대 후반,4.98
70대 중반,4.62
70대 초반,5.33
70대 후반,4.46
80세 이상,4.0
