age,N_FAT
10대 중반,61.33
10대 초반,54.76
10대 후반,62.86
10세 미만,36.54
20대 중반,55.93
20대 초반,60.89
20대 후반,57.38
30대 중반,49.93
30대 초반,51.34
30대 후반,50.84
40대 중반,44.94
40대 초반,48.27
40대 후반,38.09
50대 중반,34.88
50대 초반,36.15
50대 후반,34.71
60대 중반,30.25
60대 초반,31.46
60대 후반,26.02
70대 중반,22.09
70대 초반,23.59
70대 후반,19.64
80세 이상,17.01
