age,N_PROT
10대 중반,78.54
10대 초반,70.8
10대 후반,83.85
10세 미만,49.05
20대 중반,77.44
20대 초반,78.5
20대 후반,78.51
30대 중반,81.14
30대 초반,80.61
30대 후반,78.81
40대 중반,74.78
40대 초반,76.48
40대 후반,73.68
50대 중반,69.73
50대 초반,72.28
50대 후반,67.16
60대 중반,65.13
60대 초반,67.25
60대 후반,61.58
70대 중반,54.89
70대 초반,58.32
70대 후반,50.14
80세 이상,43.17
