age,E_Q_FAM
10대 중반,119
10대 초반,28
10대 후반,63
10세 미만,0
20대 중반,70
20대 초반,45
20대 후반,68
30대 중반,153
30대 초반,79
30대 후반,111
40대 중반,128
40대 초반,129
40대 후반,111
50대 중반,86
50대 초반,86
50대 후반,62
60대 중반,59
60대 초반,55
60대 후반,40
70대 중반,18
70대 초반,28
70대 후반,13
80세 이상,11
