age,N_CHO
10대 중반,312.78
10대 초반,302.18
10대 후반,294.91
10세 미만,221.1
20대 중반,294.55
20대 초반,254.38
20대 후반,298.95
30대 중반,319.14
30대 초반,298.15
30대 후반,300.69
40대 중반,306.89
40대 초반,315.4
40대 후반,310.18
50대 중반,320.4
50대 초반,330.84
50대 후반,324.08
60대 중반,300.62
60대 초반,319.8
60대 후반,305.87
70대 중반,269.19
70대 초반,306.03
70대 후반,261.36
80세 이상,237.42
