age,N_DUSUAL_2
10대 중반,52
10대 초반,25
10대 후반,47
10세 미만,190
20대 중반,46
20대 초반,38
20대 후반,35
30대 중반,61
30대 초반,32
30대 후반,58
40대 중반,45
40대 초반,42
40대 후반,35
50대 중반,41
50대 초반,24
50대 후반,41
60대 중반,29
60대 초반,23
60대 후반,23
70대 중반,20
70대 초반,19
70대 후반,21
80세 이상,24
