age,E_Q_SUN
10대 중반,0
10대 초반,0
10대 후반,24
10세 미만,0
20대 중반,90
20대 초반,46
20대 후반,68
30대 중반,117
30대 초반,65
30대 후반,87
40대 중반,94
40대 초반,76
40대 후반,64
50대 중반,109
50대 초반,80
50대 후반,81
60대 중반,102
60대 초반,84
60대 후반,79
70대 중반,61
70대 초반,60
70대 후반,31
80세 이상,34
