age,N_WAT_C
10대 중반,4.68
10대 초반,4.63
10대 후반,4.84
10세 미만,3.07
20대 중반,4.95
20대 초반,4.74
20대 후반,5.4
30대 중반,4.74
30대 초반,9.11
30대 후반,8.44
40대 중반,4.61
40대 초반,4.79
40대 후반,5.1
50대 중반,6.9
50대 초반,4.57
50대 후반,4.78
60대 중반,4.72
60대 초반,4.94
60대 후반,11.47
70대 중반,4.12
70대 초반,8.09
70대 후반,3.76
80세 이상,3.22
