age,N_DUSUAL_1
10대 중반,49
10대 초반,44
10대 후반,38
10세 미만,82
20대 중반,77
20대 초반,34
20대 후반,47
30대 중반,88
30대 초반,54
30대 후반,80
40대 중반,103
40대 초반,81
40대 후반,83
50대 중반,96
50대 초반,77
50대 후반,55
60대 중반,75
60대 초반,55
60대 후반,33
70대 중반,27
70대 초반,31
70대 후반,16
80세 이상,20
