age,E_Q_SUN
10대 중반,0
10대 초반,0
10대 후반,19
10세 미만,0
20대 중반,98
20대 초반,47
20대 후반,56
30대 중반,97
30대 초반,72
30대 후반,93
40대 중반,89
40대 초반,73
40대 후반,68
50대 중반,124
50대 초반,83
50대 후반,84
60대 중반,107
60대 초반,84
60대 후반,88
70대 중반,94
70대 초반,83
70대 후반,45
80세 이상,45
