age,HE_BMI
10대 중반,21.64
10대 초반,19.97
10대 후반,22.81
10세 미만,16.2
20대 중반,22.87
20대 초반,22.06
20대 후반,23.38
30대 중반,23.95
30대 초반,23.1
30대 후반,23.72
40대 중반,24.02
40대 초반,24.05
40대 후반,24.0
50대 중반,24.22
50대 초반,24.19
50대 후반,24.52
60대 중반,24.41
60대 초반,24.39
60대 후반,24.31
70대 중반,24.28
70대 초반,24.39
70대 후반,24.32
80세 이상,23.53
