age,N_CA
10대 중반,538.38
10대 초반,554.25
10대 후반,483.85
10세 미만,492.3
20대 중반,507.48
20대 초반,466.22
20대 후반,552.41
30대 중반,557.42
30대 초반,522.42
30대 후반,560.47
40대 중반,567.7
40대 초반,566.17
40대 후반,569.73
50대 중반,570.99
50대 초반,543.34
50대 후반,548.2
60대 중반,511.92
60대 초반,512.23
60대 후반,466.15
70대 중반,397.15
70대 초반,431.27
70대 후반,405.01
80세 이상,361.73
