age,BP8
10대 중반,7.33
10대 초반,8.26
10대 후반,6.84
10세 미만,0.0
20대 중반,7.29
20대 초반,7.43
20대 후반,7.52
30대 중반,7.31
30대 초반,7.39
30대 후반,7.27
40대 중반,7.02
40대 초반,7.22
40대 후반,6.94
50대 중반,7.18
50대 초반,7.34
50대 후반,7.31
60대 중반,6.97
60대 초반,7.06
60대 후반,6.89
70대 중반,6.94
70대 초반,6.96
70대 후반,7.03
80세 이상,8.08
