age,N_FAT
10대 중반,63.53
10대 초반,56.05
10대 후반,56.52
10세 미만,37.76
20대 중반,64.51
20대 초반,61.87
20대 후반,59.38
30대 중반,53.39
30대 초반,56.04
30대 후반,50.44
40대 중반,48.07
40대 초반,49.08
40대 후반,43.92
50대 중반,39.07
50대 초반,47.03
50대 후반,35.66
60대 중반,32.05
60대 초반,34.69
60대 후반,28.79
70대 중반,23.25
70대 초반,27.24
70대 후반,21.3
80세 이상,19.0
