age,N_CA
10대 중반,471.8
10대 초반,503.93
10대 후반,434.5
10세 미만,440.93
20대 중반,503.4
20대 초반,464.39
20대 후반,522.53
30대 중반,509.58
30대 초반,504.03
30대 후반,492.23
40대 중반,475.63
40대 초반,512.0
40대 후반,494.58
50대 중반,506.92
50대 초반,515.34
50대 후반,508.42
60대 중반,456.55
60대 초반,460.58
60대 후반,422.94
70대 중반,414.17
70대 초반,410.26
70대 후반,360.04
80세 이상,302.34
