age,N_FAT
10대 중반,61.42
10대 초반,53.04
10대 후반,63.85
10세 미만,37.91
20대 중반,57.05
20대 초반,58.3
20대 후반,58.76
30대 중반,56.91
30대 초반,58.74
30대 후반,54.93
40대 중반,49.28
40대 초반,51.88
40대 후반,46.26
50대 중반,40.6
50대 초반,44.34
50대 후반,38.8
60대 중반,35.4
60대 초반,37.0
60대 후반,30.75
70대 중반,24.56
70대 초반,29.52
70대 후반,21.86
80세 이상,21.13
