age,N_FAT
10대 중반,63.64
10대 초반,58.27
10대 후반,60.0
10세 미만,42.54
20대 중반,64.15
20대 초반,58.77
20대 후반,60.07
30대 중반,57.67
30대 초반,62.45
30대 후반,53.45
40대 중반,51.55
40대 초반,48.9
40대 후반,48.22
50대 중반,40.77
50대 초반,44.37
50대 후반,41.78
60대 중반,35.07
60대 초반,37.33
60대 후반,29.16
70대 중반,24.17
70대 초반,27.79
70대 후반,23.0
80세 이상,20.75
