age,BP8
10대 중반,7.23
10대 초반,7.91
10대 후반,6.75
10세 미만,0.0
20대 중반,7.16
20대 초반,7.47
20대 후반,6.99
30대 중반,7.11
30대 초반,7.22
30대 후반,7.08
40대 중반,6.81
40대 초반,7.16
40대 후반,6.9
50대 중반,7.05
50대 초반,6.81
50대 후반,6.99
60대 중반,6.84
60대 초반,6.93
60대 후반,6.91
70대 중반,7.2
70대 초반,6.93
70대 후반,7.2
80세 이상,8.53
