age,N_VA
10대 중반,609.81
10대 초반,745.86
10대 후반,692.1
10세 미만,493.45
20대 중반,761.9
20대 초반,644.14
20대 후반,732.81
30대 중반,819.41
30대 초반,699.45
30대 후반,722.27
40대 중반,808.95
40대 초반,808.97
40대 후반,738.36
50대 중반,761.84
50대 초반,791.5
50대 후반,714.58
60대 중반,602.92
60대 초반,761.77
60대 후반,672.19
70대 중반,497.92
70대 초반,541.32
70대 후반,536.95
80세 이상,343.17
