age,n_eye
10대 중반,36
10대 초반,27
10대 후반,25
10세 미만,24
20대 중반,20
20대 초반,13
20대 후반,13
30대 중반,13
30대 초반,10
30대 후반,12
40대 중반,7
40대 초반,20
40대 후반,16
50대 중반,20
50대 초반,23
50대 후반,8
60대 중반,31
60대 초반,19
60대 후반,30
70대 중반,54
70대 초반,41
70대 후반,24
80세 이상,48
