age,total,N_DUSUAL_1,N_DUSUAL_2,N_VA,N_WAT_C,N_CA,N_CHO,N_FAT,HE_HP,HE_BMI,smoke,E_Q_SUN,E_Q_FAM
10대,-5.600000000000422,212.0000000000009,-122.80000000000292,1265.7519999999931,22.938000000000105,874.7740000000049,511.7609999999986,123.70300000000044,2.000000000000001,20.253000000000004,-60.90000000000055,-511.7999999999956,-156.29999999999927
20대,4.999999999999835,-26.40000000000145,-100.39999999999782,829.5600000000004,31.57800000000043,446.1859999999997,351.16200000000026,109.6870000000008,0.900000000000091,21.646,-1162.0999999999767,422.1999999999971,86.59999999999991
30대,87.50000000000274,197.39999999999964,-52.49999999999636,1557.5580000000043,23.85299999999984,770.4130000000005,336.33900000000017,102.10699999999996,-227.90000000000143,23.738999999999997,-1748.899999999965,490.8999999999978,395.7000000000007
40대,102.79999999999964,92.79999999999929,9.5,1704.5130000000063,15.033999999999992,807.497999999996,426.9160000000011,94.78800000000048,-315.0,24.047,-1880.200000000012,180.69999999999985,565.9000000000015
50대,45.39999999999889,467.4000000000015,200.89999999999785,1548.7930000000051,9.06400000000002,550.2590000000007,334.26099999999985,66.29700000000003,78.70000000000437,22.87300000000002,-1209.899999999965,239.39999999999964,928.9000000000088
60대,49.39999999999987,380.2999999999993,56.79999999999996,1822.3209999999965,1.7790000000000532,874.1169999999984,448.5650000000005,66.21600000000035,434.6000000000004,25.013000000000005,-1673.7999999999884,-280.09999999999854,595.6999999999971
70대,223.49999999999457,249.4999999999964,154.50000000000182,1124.1399999999994,12.454999999999927,527.6299999999992,403.7089999999989,46.51700000000028,800.5,25.813999999999997,-1286.1999999999823,51.5,401.4000000000015
80세 이상,77.39999999999971,5.999999999999999,51.80000000000018,926.8539999999994,12.121999999999955,589.0040000000008,396.5669999999991,40.483000000000175,54.90000000000055,22.584999999999987,-397.8000000000029,90.69999999999982,43.80000000000018
