age,HE_BMI
10대 중반,21.45
10대 초반,19.36
10대 후반,22.45
10세 미만,16.37
20대 중반,22.91
20대 초반,22.54
20대 후반,23.7
30대 중반,24.28
30대 초반,23.85
30대 후반,23.71
40대 중반,23.77
40대 초반,23.82
40대 후반,24.54
50대 중반,24.1
50대 초반,24.0
50대 후반,23.93
60대 중반,24.43
60대 초반,24.18
60대 후반,24.52
70대 중반,24.17
70대 초반,24.45
70대 후반,24.29
80세 이상,23.95
