age,N_VA
10대 중반,817.69
10대 초반,693.49
10대 후반,784.4
10세 미만,569.54
20대 중반,751.86
20대 초반,830.61
20대 후반,810.2
30대 중반,948.77
30대 초반,1002.35
30대 후반,888.26
40대 중반,991.79
40대 초반,1004.0
40대 후반,1007.36
50대 중반,894.05
50대 초반,919.63
50대 후반,938.88
60대 중반,811.01
60대 초반,908.85
60대 후반,609.98
70대 중반,585.7
70대 초반,750.66
70대 후반,515.45
80세 이상,468.7
