age,N_FAT
10대 중반,49.01
10대 초반,44.06
10대 후반,48.02
10세 미만,31.83
20대 중반,52.79
20대 초반,47.2
20대 후반,49.51
30대 중반,46.32
30대 초반,46.33
30대 후반,42.34
40대 중반,37.5
40대 초반,42.28
40대 후반,34.63
50대 중반,30.13
50대 초반,33.88
50대 후반,29.64
60대 중반,26.63
60대 초반,27.63
60대 후반,22.24
70대 중반,19.64
70대 초반,19.8
70대 후반,16.67
80세 이상,14.98
