age,E_Q_FAM
10대 중반,61
10대 초반,20
10대 후반,32
10세 미만,0
20대 중반,52
20대 초반,23
20대 후반,36
30대 중반,120
30대 초반,47
30대 후반,121
40대 중반,122
40대 초반,106
40대 후반,85
50대 중반,129
50대 초반,107
50대 후반,65
60대 중반,59
60대 초반,68
60대 후반,44
70대 중반,31
70대 초반,34
70대 후반,16
80세 이상,15
